Name,Usernames,Fed,Title
Santiago Zapata Charles,{'ZapataCharlesS'},ARG,FM
Zhamsaran Tsydypov,{'Zhuu96'},RUS,GM
Sergey Grigoriants,{'sergiochess83'},HUN,GM
Hakobyan Aram,{'mukhin1'},ARM,GM
Zaven Andriasian,{'Zaven_ChessMood'},ARM,GM
Kanan Garayev,"{'KenanGarayev', 'GarayevKanan'}",AZE,IM
Vasiliy Korchmar,{'Korchmar_Vasiliy'},RUS,IM
Maxime Vachier-Lagrave,{'LyonBeast'},FRA,GM
Akshat Chandra,{'AkshatChandra'},USA,GM
Nail Beshirli,{'nailbeshirli'},AZE,IM
Alexander Moskalenko,{'Alexander_Moskalenko'},RUS,GM
Tuan Minh Le,{'wonderfultime'},VNM,GM
Aleksandr Rakhmanov,{'Rakhmanov_Aleksandr'},INT,GM
Nikita Khoroshev,{'nikitakhoroshev'},KGZ,IM
Gabriel Sargissian,{'Arm-Akiba'},ARM,GM
Omer Reshef,{'omer1997'},ISR,IM
Jules Moussard,{'Annawel'},FRA,GM
Alexandr Triapishko,{'AlexTriapishko'},RUS,IM
Evgeny Shtembuliak,{'Shtembuliak'},KNA,GM
Dmitry Andreikin,{'FairChess_on_YouTube'},GEO,GM
Sanan Sjugirov,{'Sanan_Sjugirov'},HUN,GM
kirillshevchenko,{'kirillshevchenko'},ROU,GM
Dariusz Swiercz,{'daro94'},USA,GM
Grigoriy Oparin,{'OparinGrigoriy'},USA,GM
Boris Savchenko,{'tigra'},RUS,GM
Ian Nepomniachtchi,{'lachesisQ'},RUS,GM
Nihal Sarin,{'nihalsarin'},IND,GM
pKiLz5Rn9b,{'pKiLz5Rn9b'},INT,IM
Gata Kamsky,"{'gkchesstiger', 'GataKamsky1974', 'TigrVShlyape'}",USA,GM
Leinier Dominguez Perez,{'DominguezOnYoutube'},USA,GM
Robert Hovhannisyan,{'Robert_Chessmood'},ARM,GM
Grzegorz Nasuta,{'grzechu96'},POL,GM
Andrey Esipenko,{'Andreikka'},RUS,GM
Maksim Chigaev,{'Fandorine'},ESP,GM
Sergio German,{'Jbd735'},INT,NM
Julian Landaw,{'jlandaw'},USA,FM
Daniele Vocaturo,{'Diwi89'},ITA,GM
Rasmus Svane,{'rasmussvane'},DEU,GM
Vladimir Fedoseev,{'Bigfish1995'},SVN,GM
Sơn Đặng,{'NTBT_DHS'},VNM,IM
Antonios Hadzimanolis,{'Generalas'},GRC,FM
Shant Sargsyan,"{'Shant_Sargsyan', 'Sargsyan_Shant'}",ARM,GM
Yevhenii Yelisieiev,{'Journey_to_GrandMaster_YT'},DEU,IM
Vuqar Esedli,{'vuqaresedli'},AZE,GM
Christian Koepke,{'FightingDragon84'},DEU,IM
Aleksandr Moiseenko,{'severomorskij'},UKR,GM
José Carlos Ibarra Jerez,{'jcibarra'},ESP,GM
Carles Diaz Camallonga,{'carlesdc96'},ESP,IM
Benjamin Moon,{'JustKid'},USA,FM
Bassem Amin,{'Dr-Bassem'},EGY,GM
Jose Martinez,{'Jospem'},MEX,GM
Francisco Vallejo Pons,{'GMVallejo'},ESP,GM
Krikor Sevag Mekhitarian,{'GMKrikor'},BRA,GM
