,Name,ELO
0,107degrees,2366.0
1,162a54f5d,800.0
2,190l,2233.0
3,1b31-O,2450.0
4,1d51-0,2199.0
5,1e41-0,2976.0
6,1e41-O,2454.0
7,1e60-12,2556.0
8,1g41-0,2593.0
9,2305,2517.0
10,2400FM,2245.0
11,2Tilted,2482.0
12,2good4u734,2341.0
13,3f32,2741.0
14,4empechement,2522.0
15,5SOS FAM,1986.0
16,A P,2346.0
17,A. Geoffrey Caspiar,2022.0
18,A.J. Goldsby,2208.0
19,AFRUZA Khamdamova,2682.0
20,AHO Wim Blijstra,1909.0
21,AIROPITO7,2581.0
22,ALEJANDRO NEEDLEMAN,2428.0
23,ALEJANDRO WALDO,2136.0
24,ALEXJR20,2332.0
25,ANUSHA NLV,2305.0
26,Aadit Bhatia,2528.0
27,Aaditya Dhingra,2694.0
28,Aadya Gowda,2114.0
29,Aadya Gupta,2346.0
30,Aakaash Meduri,2519.0
31,Aakanksha Hagawane,2492.0
32,Aakash G,2675.0
33,Aakash Sharadchandra  Dalvi,2830.0
34,Aamuktha Guntaka,2530.0
35,Aansh Nandan Nerurkar,2647.0
36,Aaradhya Das,2479.0
37,Aarav A,2663.0
38,Aarav Dengla,2871.0
39,Aarav Sarbalia,2597.0
40,Aarav Sinha,2602.0
41,Aaravamudhan Balaji,2689.0
42,Aarit Kapil,2731.0
43,Aaron Alonso Garcia,2614.0
44,Aaron Balleisen,2275.0
45,Aaron Bendayan Claros,2583.0
46,Aaron Cooper,2287.0
47,Aaron Grabinsky,2808.0
48,Aaron Guthrie,2419.0
49,Aaron Jacobson,3062.0
50,Aaron Matthes,2516.0
51,Aaron Mendes,2804.0
52,Aaron Noah Koellner,2482.0
53,Aashman Gupta,2500.0
54,Aashna Makhija,1448.0
55,Aay Aisyah Anisa,2191.0
56,Aayush Bhattacherjee,2314.0
57,Abdelazeez Mohamed 12202576,2388.0
58,Abdelrahman Hesham,2832.0
59,Abdimalik Abdisalimov,2783.0
60,Abdou Ahmed Alem,2217.0
61,Abdu Al Badani,1966.0
62,Abdulkadir Mohamed Warsame,2164.0
63,Abdulla AlMarzouqi,2362.0
64,Abdulla Gadimbayli,2831.0
65,Abdulov Orkhan,2592.0
66,Abdulrahman A Masrahi,2172.0
67,Abel Justo Davalos,2403.0
68,Abhijeet Gupta,2981.0
69,Abhimanyu Mishra,3179.0
70,Abhimanyu Puranik,2989.0
71,Abhinav Penagalapati,2218.0
