,CenterControlScore,PieceActivityScore,KingSafetyScore,CastlingScore,KingTropismScore,KingDefendersScore,KingPawnShieldScore,KingZoneControlScore,KingDiagonalExposureScore,KingEscapeSquaresScore,CaptureRatio,PawnCenter,AveragePawnAdvanceDepth,CheckRatio,ForceRatio,PawnIsolateScore,PawnOverlapScore,PawnProtectScore,queen_1LifeRatio,rook_1LifeRatio,rook_2LifeRatio,bishop_1LifeRatio,bishop_2LifeRatio,knight_1LifeRatio,knight_2LifeRatio,pawn_1LifeRatio,pawn_2LifeRatio,pawn_3LifeRatio,pawn_4LifeRatio,pawn_5LifeRatio,pawn_6LifeRatio,pawn_7LifeRatio,pawn_8LifeRatio,queen_promo_1LifeRatio,queen_promo_2LifeRatio,queen_promo_3LifeRatio,queen_promo_4LifeRatio,queen_promo_5LifeRatio,queen_promo_6LifeRatio,queen_promo_7LifeRatio,queen_promo_8LifeRatio,Name,ELO
0,19.06598078419927,171.9276863295249,-58.09395662022029,-15.592441146213112,-11.06940108018227,3.995925038180306,-4.228133684632607,-33.36390759633783,-10.445511737787523,12.609513586752753,0.2204140752864157,0.4161162029459902,19.7430441898527,0.071887070376432,0.0080703764320785,0.1330664474214582,-0.2462128531012111,1.7615569829425295,0.6428487326944674,0.8818133899294767,0.7733229497719115,0.580950291901644,0.5788076592916204,0.4989758544612889,0.5616041692797521,0.8987916583616725,0.875673945054238,0.8363044922485858,0.6569026661308969,0.4415552888734165,0.502575836641092,0.8026638681096007,0.8266671926548915,0.0595333645927523,0.0396893382739828,,,,,,,Aleksandr Lenderman,2913.0
127,19.62736128155324,169.8131410201089,-63.15565007791555,-16.588896667629008,-11.209400677446132,3.991836734693878,-6.831767329755887,-35.64161065780277,-11.337268154844143,14.46145667486853,0.2291,0.44089999999999996,19.3,0.07919999999999999,0.0111,0.29561407751366187,-0.21977124183006533,1.531455709943552,0.6372207580222433,0.8895311035613872,0.6526485012571035,0.6080269279081529,0.46409235453324593,0.34430016607023534,0.6117231381404046,0.8274909627882773,0.8894723929090537,0.845744042017334,0.7002105701067184,0.3685324880316042,0.349285014257619,0.7994100358043873,0.7663219495858324,0.03166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
128,20.195802273413356,176.1732102100828,-53.63308916787563,-15.003258505515486,-10.59617581899649,4.0,-0.3782986410457395,-33.76592838251001,-10.150889844972221,12.26146202516433,0.22740000000000005,0.3718,21.5,0.0709,0.009600000000000001,0.13964846795384725,-0.1897599342185162,1.5671529868550853,0.6756492818144653,0.9946236559139784,0.8128210841446135,0.604439215843881,0.5877685996901791,0.5171216268554815,0.5470835632822808,0.9261485826001955,0.8541625936787227,0.8352856709475175,0.6059829858454148,0.5328552092886648,0.419015741608001,0.8947825107054316,0.8273286003124714,0.00499073044123099,0.00068965517241379,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
129,20.22889956209478,185.60817981932453,-55.14020502028594,-15.581002072206001,-10.492869190761073,4.0,-3.3459921418101537,-31.84702492338733,-10.36149700343962,12.488180311318237,0.22139999999999999,0.2764,19.4,0.09590000000000001,0.0095,0.09299591529103814,-0.4278411006502318,1.5468399289922876,0.753554200984331,0.7968713487303318,0.7535550251890631,0.5959057125398023,0.6141860670424832,0.5181231294126635,0.5399335731706274,0.934564983888292,0.8362963223971212,0.9139405143997223,0.6810335276680297,0.4070583894783094,0.36212231889855995,0.7496475064998638,0.6915421780383235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
130,19.050438148890997,178.85353680587684,-47.96132665373188,-15.733285876511228,-9.624677693625895,3.9945205479452057,-1.4301884208170712,-26.677862771586952,-10.281588915398574,11.791756476262643,0.21470000000000003,0.4464,18.3,0.09050000000000001,0.0013,0.13703045499224387,-0.07415010835048269,1.8518352594050278,0.696305389460594,0.9409336697909157,0.8160332205490517,0.5165787524351438,0.5300702556155998,0.55923323437798,0.600529000344017,0.946993491794001,0.9480263157894736,0.9294092945128778,0.6621246193903363,0.36175724094837974,0.4381516313851751,0.8152398388096573,0.9506158197244776,0.01541448947888715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
131,18.36940493352075,159.31559604282842,-58.879870261902944,-15.276558235815912,-12.043012743503116,3.9857142857142853,-3.9099283014927955,-33.122152485504124,-9.996802253497764,11.4828694721965,0.217,0.5189000000000001,16.0,0.07379999999999999,0.005,0.0348685738748162,-0.35727542462562245,2.0730611750557393,0.5886703268690034,0.8387888227071842,0.8337685177707789,0.48434429580663096,0.6051456917606162,0.4261083339668006,0.6067358918427661,0.9695238095238095,0.8643324702430857,0.8427081384789368,0.6443281563131551,0.5747352327631607,0.6702084398862238,0.8685626609677243,0.88583438419504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
132,20.10831003665834,199.67188554157295,-55.30419444100685,-14.685007221279315,-10.995432073991077,4.0,-4.098797507508751,-29.88202519513552,-9.859749917208262,10.216817474116082,0.231,0.4932,18.1,0.0511,0.010799999999999999,0.1601441208667375,-0.2033417159967435,1.8706540374770597,0.8270835608998517,0.9537783652786958,0.8069072970441422,0.6293846488642608,0.6310250735424583,0.6723108860965346,0.6390129829027876,0.875921551724138,0.8842132352941177,0.8700336886993604,0.8639997836340261,0.5069145443203303,0.5095824750395257,0.8219878332368828,0.8358683435342495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
133,20.268477977370335,187.09561285253443,-62.65239061898065,-14.815205600436562,-12.169013881510596,3.9884615384615385,-2.897049113710137,-37.756517275458094,-10.31084226134933,11.307775975022532,0.22970000000000002,0.5106999999999999,17.0,0.1026,0.014299999999999998,0.08470414555200653,-0.25183663548492147,1.9266172148944674,0.7907482894799525,0.8184312619296117,0.8313345322984371,0.6534329639958003,0.6456257201039199,0.5399156606712924,0.628930350970309,0.8514892076209717,0.9362643729508306,0.7743511488545778,0.7193354673846782,0.6649205451034575,0.42457570107391823,0.8576810160074398,0.9797872340425531,0.00478534317746786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
134,17.38143642335747,156.683888322063,-53.29372441297282,-16.10234541628334,-10.944988384702935,3.9986111111111113,-4.950202328513333,-28.602082362795066,-10.510308783594073,13.817591751804821,0.20389999999999997,0.4407,18.8,0.0511,0.004399999999999999,0.12166322848057023,-0.21001656555395015,2.024883647775023,0.5273399056367802,0.9092229992229992,0.7202043604374573,0.5624243743073366,0.6088638415248919,0.4470787637040682,0.5181294623996422,0.9868852459016393,0.9303673671047447,0.8080658952675058,0.7293183553211023,0.41303337960527076,0.4485444041452628,0.7529003064956951,0.7324480681979715,0.00206896551724137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
126,18.608065995782294,175.970155168626,-54.12032821884187,-12.39072530420619,-9.767524131208805,3.9985915492957744,-5.672453189555805,-31.507233504441757,-9.832472635234206,11.051488996509118,0.2131,0.3073,19.9,0.1419,0.0081,0.08804657913812844,-0.10273036487322199,1.6258052209360057,0.7204900617400618,0.8511093104772881,0.7502853931588149,0.5708725305325559,0.5300083427892417,0.6240172268909381,0.523259257993128,0.9659722222222221,0.8538807251307251,0.825942894448049,0.752033152033152,0.3861404556727735,0.44361029294829823,0.8357199612396242,0.7287647477591588,0.00083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Lenderman,2913.0
