Name,Forcing_Style_Prob,Forcing_Style_Score
4empechement,0.27513340888408244,0.1302
AFRUZA Khamdamova,0.4199857686313182,0.2397
Aadit Bhatia,0.8707126588429327,0.7848
Aaditya Dhingra,0.8667603395813502,0.7774
Aakaash Meduri,0.88761005081855,0.8145
Aakash G,0.8724896817681372,0.7881
Aansh Nandan Nerurkar,0.6288859881575102,0.446
Aaradhya Das,0.6098247293978274,0.4252
Aarav Dengla,0.33460091886981586,0.1718
Aarav Sinha,0.13300820896747698,0.0527
Aaravamudhan Balaji,0.8189525238251708,0.7065
Aarit Kapil,0.5531799802085562,0.361
Aaron Bendayan Claros,0.4562804574076459,0.2672
Aaron Cooper,0.19185650705421137,0.0783
Aaron Jacobson,0.0908734512566886,0.036
Aaron Matthes,0.5051616313424705,0.3102
Aaron Mendes,0.2284910065005031,0.0935
Abdimalik Abdisalimov,0.9470963177377371,0.9377
Abdulla Gadimbayli,0.03933940133690421,0.0134
Abhimanyu Puranik,0.3822468958870958,0.2074
Abigail Zhou,0.3750045316689972,0.2004
Abtin Atakhan,0.5802228917101038,0.3918
Adam Collins,0.5161169247774934,0.3232
Adam Gibała,0.9583431962559497,0.9625
Adam Kozak,0.7642354108795325,0.6219
Adam Kujawski,0.27615534844087475,0.1317
Adam Mekhane,0.5638459346255035,0.3725
Adani Clarke,0.6435516954492255,0.4627
Adar TARHAN,0.03164650284599274,0.0082
Adham Fawzy,0.9258789913925867,0.8917
Adham_Hossam2011,0.7564255467114978,0.6111
Adi Menahem,0.3290920116427292,0.1681
Aditya Mittal,0.6694194544940111,0.4957
Aditya S Samant,0.6076600937146838,0.4237
Aditya Varun Gampa,0.5087555941237469,0.3135
Adnan Sitnic,0.42562478866108844,0.2434
Adrian Antonio Garcia Garcia,0.38508447481752384,0.2115
Adrian Gschnitzer,0.6355226424099607,0.4516
Adrian Martinez Fernandez,0.7377508923352311,0.5863
Adrian Suarez Uriel,0.7753421947560218,0.6386
Adán Rios Escobar,0.9263268614317586,0.8924
Aghasiyev Kamal,0.49414482194130904,0.2991
Agustin Ambrogi,0.44719187519887393,0.259
Agustin Fuentes,0.5510927205957385,0.3577
Ahmad Ahmadzada,0.4584143654359945,0.2686
Ahmad Al khatib,0.19243370818292072,0.0787
Ahmed Kandil,0.6271745343074393,0.4442
Ahn Hongjin,0.8678772253620142,0.7788
Aiaru Altynbek,0.39185298460927587,0.2171
Airat Sadubayev,0.5195390443907644,0.3269
Aisen Mestnikov,0.6303890815416154,0.4475
Ajay Karthikeyan,0.9721747337699057,0.9874
Akeem Brown,0.7372353912012938,0.5855
Akhmedov_David,0.8228996780469867,0.7124
Aksel Bu Kvaloy,0.42377903070358736,0.2419
Akshay Borgaonkar,0.43967726867692847,0.2512
Akylbek2021,0.8053830504539057,0.6842
Al-Saffar Araz Basim,0.45846436378711247,0.2694
Alain Fayard,0.9512884009331035,0.9499
Alain Otero Marino,0.2991172992846974,0.1421
Alain Prieto Aranguren,0.811242231962656,0.6987
Alan Morris-Suzuki,0.7386751725327811,0.5892
Alan Pichot,0.8525290295269583,0.7551
Alba De Lomas Busquets,0.7864482697385405,0.6575
Alban alban1987@hotmail.com,0.6898142382443864,0.5228
Albert Fishman,0.5505928048758835,0.3566
Alberto Barp,0.6810347889295941,0.5087
Alberto Fabris,0.7462806961063513,0.6
Alberto Guzman Moneo,0.899909527695371,0.839
Alberto Martin Fuentes,0.8006031453568342,0.6787
Alberto Santos Flores,0.5795027155291248,0.39
Aleexeey Sueetin,0.8069545454691802,0.6872
Alejandro Castellanos Gómez,0.4484676024528952,0.2609
Alejandro Castellanos Villela,0.865174901687028,0.7744
Alejandro Cosoi Scherzer,0.4832790585054271,0.2913
Alejandro Cuellar Montes,0.6722509209893227,0.4998
Alejandro Domingo Nunez,0.8872449798009283,0.8134
Alejandro Garcia Garcia,0.8919006851136808,0.8241
Alejandro González Vega,0.8801698531513805,0.8
Alejandro Pacheco,0.2754164852658737,0.1314
Alejandro Uzcategui Rodriguez,0.6334067387018827,0.4494
Alekhine Nouri,0.7441249346460969,0.5978
Aleksa Micic,0.7759015524900927,0.6397
Aleksa Petrovic,0.17967978295818907,0.0712
Aleksandar Indjic,0.9397768541022451,0.9221
Aleksandar Topalov,0.9577448466042451,0.9618
Aleksander Hnydiuk,0.5530955485872775,0.3607
Aleksander Kumala,0.4451898071986607,0.2564
Aleksandr Devaev,0.9534828290137174,0.9547
Aleksandr Domalchuk-Jonasson,0.9315764504512589,0.9039
Aleksandr Ivanov,0.8192251259708223,0.7072
Aleksandr Lenderman,0.024754512874786742,0.0052
Aleksandr Rakhmanov,0.6821918150811508,0.5098
Aleksandr Shimanov,0.6903880424857023,0.5243
Aleksandr Usov,0.3057606160111599,0.1473
Aleksandra Goryachkina,0.3089178757494916,0.151
Aleksandra Lach,0.8866876622213745,0.8126
Aleksandra Maltsevskaya,0.550053799110314,0.3547
Aleksandra Tarnowska,0.6897251938599932,0.5224
Aleksandras Jegorovas,0.5149424592850564,0.3202
Aleksei Belov,0.1640369725060574,0.0635
Aleksei Pridorozhni,0.798026368568422,0.6738
Aleksei Sarana,0.6075185081553373,0.4234
Aleksey Sorokin,0.3011338619889591,0.1432
Alen Yeremyan,0.4610080946799623,0.2731
Alena Nikulina,0.44620519488828847,0.2571
Alessandro Manzone,0.7735722844674309,0.636
Alessio Boraso,0.5313133248843857,0.3391
Alex Arias Igual,0.8189855785206739,0.7069
Alex Bullen,0.528778848281711,0.3362
Alex Fier,0.9251303133442409,0.8902
Alex Fishbein,0.26437190565363905,0.1232
Alex Garrido Outon,0.6559058074779844,0.4768
Alex Goldin,0.804166069860224,0.6827
Alex Jian,0.908291624156413,0.8564
Alex King,0.4071264533634533,0.2297
Alex Krstulovic,0.24837505896298467,0.108
Alex Ostrovskiy,0.18181319161797888,0.0731
Alex Sahakyan,0.41657989708657067,0.2378
Alex Truskavetsky,0.6544216050346561,0.4761
Alex Villa Tornero,0.12956735700105124,0.0516
Alex Wang,0.530221997639674,0.338
Alexander A. Chernov,0.9170219321514008,0.8738
Alexander Alexikov,0.9564991876592064,0.9599
Alexander Donchenko,0.6511133828375143,0.4724
Alexander Fikiet,0.6356805167268488,0.4519
Alexander Gelman,0.8688011095742644,0.7814
Alexander Grischuk,0.7081733386957267,0.5436
Alexander Herbrig,0.3410081919285134,0.18
Alexander Hernandez Jimenez,0.8145494864224375,0.7024
