,CenterControlScore,PieceActivityScore,KingSafetyScore,CastlingScore,KingTropismScore,KingDefendersScore,KingPawnShieldScore,KingZoneControlScore,KingDiagonalExposureScore,KingEscapeSquaresScore,CaptureRatio,PawnCenter,AveragePawnAdvanceDepth,CheckRatio,ForceRatio,PawnIsolateScore,PawnOverlapScore,PawnProtectScore,queen_1LifeRatio,rook_1LifeRatio,rook_2LifeRatio,bishop_1LifeRatio,bishop_2LifeRatio,knight_1LifeRatio,knight_2LifeRatio,pawn_1LifeRatio,pawn_2LifeRatio,pawn_3LifeRatio,pawn_4LifeRatio,pawn_5LifeRatio,pawn_6LifeRatio,pawn_7LifeRatio,pawn_8LifeRatio,queen_promo_1LifeRatio,queen_promo_2LifeRatio,queen_promo_3LifeRatio,queen_promo_4LifeRatio,queen_promo_5LifeRatio,queen_promo_6LifeRatio,queen_promo_7LifeRatio,queen_promo_8LifeRatio,Name,ELO
0,19.088649401760787,181.04884180507952,-63.11288565974045,-14.650555173616889,-12.029563726186169,3.997822140921065,-6.119282383359386,-35.91199427915387,-10.559870156797237,12.160557918452032,0.2160306748466257,0.3587453987730061,18.8680981595092,0.0698098159509202,0.0116595092024539,0.0665290872952823,-0.2287527250774957,1.1229237112549906,0.7009875757286537,0.8404769677258924,0.8213339623744631,0.6203153356071255,0.5993670303092191,0.506496744094242,0.5663549685250262,0.8649037519451308,0.8607999471823052,0.7526377985770966,0.5050719245193754,0.3702911027206727,0.6540286822292912,0.8299835511423189,0.8562364295015873,0.1189072376139905,0.032,0.008,,,,,,Aaron Jacobson,3062.0
67,20.629281849364087,194.3503618849546,-61.24888013865028,-15.271349810320396,-13.510617977265051,3.9984375,-3.15339394706171,-34.181761410244384,-10.24554379605173,11.115349302292994,0.23450000000000001,0.48440000000000005,13.3,0.0511,0.0045,-0.16493326182761164,-0.2129372674109516,0.8510472476010401,0.7749267807681751,0.9341772151898734,0.8464181973412899,0.7463216131823688,0.6264162271108092,0.49703495575440115,0.7441760163280399,0.8408057686439928,0.9745889045545864,0.9153393620217581,0.647943613388704,0.152367842823899,0.6283030276033972,0.8930212910873451,0.8769128409294051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
68,20.633808144456268,194.40334120452547,-66.3258712635659,-15.958862725770768,-12.280544039256108,3.9967741935483874,-4.464256558886203,-39.13650998332129,-10.55858434490057,12.076112195020672,0.2225,0.39370000000000005,16.1,0.03949999999999999,0.0108,0.08421643501293677,-0.19794815078038516,1.497361400661199,0.7641048297137868,0.78516681186188,0.8681182795698925,0.7041088363305278,0.744885198130383,0.4694776822756368,0.6305689011984251,0.8415661877654287,0.7065309640812487,0.8337575923933332,0.49354927588981956,0.5292134070108777,0.7025063579588423,0.7961973627805309,0.9827968923418424,0.00530973451327433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
69,18.02973530185157,174.2196520377235,-61.57491858009696,-13.661897392597984,-12.702369461007155,3.990980899915985,-6.588527511412513,-33.84566236964218,-10.384214768143122,11.616772022790009,0.15739999999999998,0.3854,20.8,0.1006,0.0093,0.14800169811805478,-0.4223647861357234,1.4140984437104667,0.7365288671699173,0.7218567715063872,0.7399136133058153,0.629262613725353,0.7554943502392716,0.3946559050824174,0.5299928226345991,0.8544683726603491,0.8947762033288349,0.7859903262393322,0.5482657878577255,0.49644572347439586,0.5117957048917254,0.900611375169456,0.8454160540079629,0.00794890223293033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
70,16.76747217509719,160.46196859180844,-75.78887337181145,-16.526820789239682,-13.008942272016043,4.0,-5.284224325266878,-45.86264321034604,-10.580536737991562,11.474293963048762,0.2209,0.34820000000000007,16.4,0.044700000000000004,0.0048000000000000004,0.0038796234742022456,-0.42902439544981374,1.538759655430543,0.6190201365418309,0.8503777358211003,0.8297388683849048,0.44401127233706006,0.44236872697249296,0.3838406564175956,0.5843891731934525,0.866847262300533,0.8870295498580205,0.7431511778846033,0.48851626511680923,0.25422731889772743,0.7304796939648199,0.8816855511638121,0.8942951251646905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
71,20.33912910104558,186.9036084749643,-68.82157966112324,-14.780251099015398,-12.58375342917228,4.0,-7.878023851307605,-39.46511948831743,-10.115430801717988,12.000999008407476,0.22210000000000002,0.3519,14.4,0.05689999999999999,0.006900000000000001,-0.08588142893634881,-0.5271212421784504,1.3573520578497695,0.6838885283113891,0.8620836952342982,0.8878240378180575,0.7644452185539186,0.6039624148311697,0.5858435393783479,0.6571439405673943,0.8607606491340556,0.8470405605427324,0.8735616391142873,0.5935554385438714,0.4657567904436388,0.8007674673577195,0.9315682546661439,0.9196850393700787,0.0012658227848101199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
72,19.794942473212235,171.68348807256797,-57.21223258061336,-16.710648173125843,-10.494611274731664,4.0,-2.8011436443072126,-33.56395642810862,-11.349797346126055,13.707924285786024,0.1793,0.27549999999999997,26.6,0.06180000000000001,0.002,0.14612116632335231,-0.24007859308608417,1.0106242601913957,0.6051839890046316,0.817057171796414,0.7812646178109415,0.47138176604237925,0.4408214644541415,0.4032147336703238,0.5796930036122879,0.7248904636301305,0.6959690163258806,0.6322234821437556,0.4773386596570547,0.23460925523542203,0.5077598116438032,0.7565303993375841,0.8048381694990075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
73,17.199081396438892,160.39205085301302,-59.68160424021384,-15.31596950994217,-11.407980160374908,3.9963966836734692,-3.6494091050076967,-35.9474618981461,-10.447707366162755,13.090527115746317,0.2197,0.34719999999999995,21.6,0.13220000000000004,0.026600000000000002,0.17276659960858004,-0.06298306794206765,0.9391718081309113,0.4932121764619232,0.9020988883358221,0.7715114130528198,0.6176262002534123,0.5076029788180241,0.5108834226740327,0.5584906424154762,0.8596127818063266,0.8848264520484845,0.8670590793439492,0.40439382274451346,0.17846246958727324,0.5492233562429251,0.8358328294902952,0.8923295622901325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
74,19.729066804481732,190.10711130777872,-54.067754198876,-11.604008558827072,-10.31179031526852,4.0,-6.030008150626346,-29.88459389706214,-10.206675226694056,9.969321949602122,0.20929999999999999,0.296,15.3,0.046599999999999996,0.01,-0.015354094232043435,-0.23143526920750151,0.6376197460199274,0.7716472720960548,0.7626740037937674,0.8641182340319876,0.9223635761894388,0.5985302914932126,0.718339800635595,0.5785260009895843,0.97720207253886,0.9647668393782384,0.6656768225112415,0.5153569487032927,0.42638558096814627,0.6079122850781224,0.8558587160313541,0.9512953367875647,0.00530973451327433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
66,17.80616371104529,169.92113424343688,-69.3644389859106,-17.077549175970226,-12.245752237473855,4.0,-6.262402692336903,-41.989190400243025,-11.245548568390674,15.456004088504088,0.191,0.2745,27.3,0.07139999999999999,0.024100000000000003,0.06643467886888943,-0.21112225006961846,0.9390658907369431,0.5583850759322574,0.8438121178484815,0.6834396055330444,0.5518325242405051,0.42717006323261,0.4450565040106733,0.4825632400771919,0.7119350418966569,0.7556906172363891,0.7897720631823839,0.4647388085916254,0.12591401031175384,0.6964201484807678,0.7080784794787092,0.8666101845894987,0.07111015346309464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Jacobson,3062.0
