Node,Community,X,Y
4empechement,0,1.625943537220581,-1.0599544251422115
Aaradhya Das,0,2.485077600822607,-0.29911107676291565
Aditya Varun Gampa,1,-0.11697058702229723,-2.4599130407662337
Agustin Fuentes,0,5.073618945311477,2.0522974936701988
Aleexeey Sueetin,0,9.448134911298112,5.761681917880238
Alejandro Pacheco,0,6.0338368924046195,2.795534606912274
Aleksandr Devaev,0,4.778631857883292,1.640187479852701
Aleksandr Ivanov,0,8.916918504388947,5.2464437316392765
Alexander A. Chernov,0,7.781198632312146,4.318516344033389
Algol Jorajuria,0,8.433526499579171,4.866830988962498
Alina Semenova,0,5.4847418491949735,2.424002679575148
Almas Rakhmatullaev,1,0.6958647785772906,-1.902601826495155
Andreas Brenke,0,7.664284315039129,4.276582944347532
Andres Ferriz Barrios,0,0.6971305998742215,-1.8210119199785764
Andrew Tang,1,0.04805844248954235,-2.3873106480821895
Andrey Esipenko,2,0.45774160264837815,-2.2467496879574047
Andrii Palchuk,0,5.536393398628386,2.3008622430944405
Andriy Prydun,0,6.144964490218327,3.0149095359215288
Angie Garcia,0,5.004965578205955,2.0156876771456043
Anna M. Sargsyan,0,1.7354950401271152,-1.0082634850910301
Arina Kiseleva,0,3.383244555252995,0.5730666163769703
Arthur De Winter,0,5.286884380001927,1.9420131225882271
Baadur Jobava,2,-0.4487603415522338,-2.355692976224432
Baira Kovanova,0,7.825059128971458,4.341126947417119
Benedikt Huber,0,8.248360026109648,4.797275867786618
Bobur Sattarov,1,1.058320720364708,-1.6999420462661126
Boris Ferrufino,0,2.2204642755385446,-0.5034425039911304
Byambaa Uyanga,0,2.163741288153029,-0.5565430651598523
Carlos Morales,0,4.736993220929967,1.6920643426742659
Christopher Chabris,0,6.030400943080973,2.8417141746126267
Christopher Guzman,3,-1.3937093449032663,-1.300322244915454
Cindy Qiao,2,-0.050305516301467464,-2.467330534165122
Daniel Ser,0,1.134911388993819,-1.4366129463458082
David Haydon,2,-0.3255609347237093,-2.4074340031822725
David Temirkanov,0,4.040196286145528,1.1528051515326974
Denis Garrido,0,9.900019955510324,6.205562683623616
Denis Pershin,0,2.267158965513563,-0.4583334916367517
Dion Su,0,7.5430112315204285,4.126143312269541
Edgardo J. Almedina Ortiz,0,9.733105079252814,5.884792624496342
Edmund C Player,0,5.497462719413593,2.4572070957401313
Enkhrii Enkh-Amgalan,0,8.730463656664545,5.2300681865471494
Erez Kupervaser,0,8.144897264006428,4.74506249690961
Eric Hansen,0,4.527841446745709,1.117877229804789
Erik Blomqvist,0,9.488884687986825,5.658324482935736
Ervin Ozkan,0,2.0501734359982313,-0.8245217298860289
Evgeniy Najer,0,8.96221647687912,5.143468309150283
Fabio Colonetti,0,3.6167281639314734,0.7611977513474811
Florian Jenni,2,0.25519501806055406,-2.2789097372287217
Franck Steenbekkers,0,10.338447250341833,6.608069865756836
Germán Della Morte,0,0.5988439891326914,-1.9611274748948504
Gerodot71,0,4.261747205491615,1.1732392366687079
Gevorg Harutjunyan,1,0.6797181291687112,-1.96429269549272
Giannis Kalogeris,0,1.2198355234367757,-1.4252823230549696
Gizem Olcayoz,0,7.63291138454621,4.281389093249555
Grayson Rorrer,0,0.49952341765311203,-2.041410278878585
Gukesh D,0,5.731995121150114,2.2920209645161855
Gunay Mammadzada,0,6.363920222204436,3.136719839844415
Ignacio Gago,0,7.347366230940045,3.8746507293472847
Igor Miladinovic,1,-0.45913341874055724,-2.3400185405876113
Igor Vershinin,0,1.424199311287806,-1.1842974837750824
Isuru Alahakoon,0,6.72947890038638,3.4654570048297946
Iulian-Ioan Taras,0,4.886136448146052,1.8641111734440852
Iwo Godzwon,2,-0.13922309610191505,-2.4620416411039345
Jaan Ehlvest,0,9.50619951300461,5.748634438379938
Jacorey Bynum,0,2.699677113842269,-0.030174075879535477
Jasper Rom,0,3.804335123171132,0.8663357402337105
Jean Marco Cruz Mendez,0,4.581941611561883,1.3453202127049295
Jerzy Slaby,2,-0.3390331643582157,-2.421365434567809
Joakim Nilsson,1,-0.2291466075577359,-2.464255357120064
Joao Avalos,0,3.1012378257468765,0.2734983109434147
Joaquin Fiorito,2,-0.19992033871243944,-2.408145875290604
John Funderburg,0,10.378365586632219,6.638746927415041
Jonathan Hrach,0,4.020687846036789,1.1344258960096962
Jonathan Subervi,0,5.656456192147546,2.4740682453759915
Jonny Cueto,0,5.0259798813896746,2.0142904458113935
JozefKneht,0,5.177907677231998,2.132495564739
Juan Carlos Ricaurte Lopez,0,6.869454860001602,3.5941686198484115
Juan Manuel Garcia Almaguer,0,0.4137601241776618,-2.0473799946295346
Judah Nathan Levitan,0,3.9666387720211014,1.116454821773734
Julia Elizabeth Sloan,0,6.455647890511945,3.2311420640275332
Justin Blackman,0,4.342441819108481,1.2824321279932005
Justo Reinaldo Chemin,0,0.5142634080262892,-1.9753816513888418
Ketevan Arakhamia-Grant,0,10.326310201828267,6.469068384557157
Kevin Cupid,0,1.041274222398053,-1.5680861964008497
Kjell Petersson,0,1.2605094957012717,-1.343275955954684
Konstnatin Andreev,0,1.409294979224636,-1.1953220219195277
Krzysztof Jakubowski,0,4.585699723108201,1.457862146880713
Le Thao Nguyen Pham,2,0.8202125288336238,-1.8013257594998038
Leon Mazi,0,4.868763145749005,1.8030195023706774
Leonardo Duarte,0,6.402277846789574,3.1407433984743904
Leslie Carolin Torres Hernandez,0,9.773104490334806,6.137858899457037
Lilia Fuentes,0,5.950612912349647,2.7579502175267265
Lilit Mkrtchian,0,6.0808047568281145,2.8662955712931866
Lucas Aguiar Cunha,0,4.969056782604502,1.7333713746199344
Lucius Melillo,0,1.731225765406209,-0.9274149110250024
Luis Eusebio Oro,0,1.3945873487949112,-1.2365140655604914
Luis Guillermo Antúnez Soler,0,5.26972160911937,2.0318479314331888
Luka Paichadze,0,0.8275955381797383,-1.8187778668764383
Marcel Beulen,0,2.4612603941497624,-0.3034385290768595
Martin Brüdigam,0,3.3398366234842682,0.442122515657263
Martin Matthiesen,0,9.47093081400646,5.607684618340742
Martin Portero Rubio,0,3.5043977882029282,0.6017266430364407
Matt Herman,0,6.015137327102987,2.6934734117282537
Matías Mingo Fernández,0,6.8707104789201745,3.524074444902578
Matías Pérez Gormaz,0,4.6330862123316745,1.3021218466130957
Michel Saucey,0,7.473708285198661,4.100306623789431
Mike Sailer,0,3.974547295484882,1.0698549106207544
Mikkel Jacobsen,0,5.080480666471524,1.9421430828189798
Mikołaj Gbiorczyk,0,4.215112733232658,1.2655462045244632
Milad Khodabandeh,0,1.9942638161116037,-0.7158687369459337
Mrudul Dehankar,0,6.948234044685308,3.6358943497756324
Nadezhda Kostina,0,8.422439726860533,4.942629887857536
Nafisa Muminova,0,1.1484039323430182,-1.4694241441778437
Nemo Zhou,0,2.587716812114843,-0.2313115664275108
Nesa Modric,0,5.8111622962711715,2.7148422357464534
Newansa M Esandi,0,1.5902586702948636,-1.0493603885262697
Niklas Schmider,0,4.4931309726723905,1.246036665659199
Nikolai Kabanov,0,1.066732716156082,-1.6070599413545894
Olga Babiy,0,1.2494128710150123,-1.4046682677492144
Pierre Villegas,0,7.696405052963126,4.186064381706052
Pranav V,2,0.1931970092306923,-2.2837548855729395
RICHARD POLACZEK,0,8.095161362880667,4.564332357356009
Rafał Lewandowski,0,9.113067184833664,5.571160424278661
Ranindu Dilshan Liyanage,0,3.9202202146044636,0.8297569346058331
Rebeca Jiménez Fernández,0,8.022785539126014,4.585926542800966
Richard Bethke,1,-0.33481244542495436,-2.3691778253500893
Richard Persson,0,3.493848257975019,0.6600407551763129
Richard Yi,0,1.3722980040179515,-1.2367868378840825
Rick Frischmann,0,1.7488285514062363,-1.0964305810866504
Rick GC,0,3.5636560113085682,0.6295240391518777
Rohun Trakru,0,0.5291375307819247,-1.9825567348236441
Roman Gavrilin,1,-0.3036290293782886,-2.420536480344926
Roman Goldin,0,6.632946442426377,3.3424504314146377
