,user,CenterControlScore,PieceActivityScore,KingSafetyScore,CastlingScore,KingTropismScore,KingDefendersScore,KingPawnShieldScore,KingZoneControlScore,KingDiagonalExposureScore,KingEscapeSquaresScore,CaptureRatio,PawnCenter,AveragePawnAdvanceDepth,CheckRatio,ForceRatio,PawnIsolateScore,PawnOverlapScore,PawnProtectScore,TotalGames,WonGames,LostGames,DrawnGames,queen_1LifeRatio,rook_1LifeRatio,rook_2LifeRatio,bishop_1LifeRatio,bishop_2LifeRatio,knight_1LifeRatio,knight_2LifeRatio,pawn_1LifeRatio,pawn_2LifeRatio,pawn_3LifeRatio,pawn_4LifeRatio,pawn_5LifeRatio,pawn_6LifeRatio,pawn_7LifeRatio,pawn_8LifeRatio,queen_promo_1LifeRatio,queen_promo_2LifeRatio,queen_promo_3LifeRatio,queen_promo_4LifeRatio,queen_promo_5LifeRatio,queen_promo_6LifeRatio,queen_promo_7LifeRatio,queen_promo_8LifeRatio,rook_promo_1LifeRatio,rook_promo_2LifeRatio,rook_promo_3LifeRatio,rook_promo_4LifeRatio,rook_promo_5LifeRatio,rook_promo_6LifeRatio,rook_promo_7LifeRatio,rook_promo_8LifeRatio,bishop_promo_1LifeRatio,bishop_promo_2LifeRatio,bishop_promo_3LifeRatio,bishop_promo_4LifeRatio,bishop_promo_5LifeRatio,bishop_promo_6LifeRatio,bishop_promo_7LifeRatio,bishop_promo_8LifeRatio,knight_promo_1LifeRatio,knight_promo_2LifeRatio,knight_promo_3LifeRatio,knight_promo_4LifeRatio,knight_promo_5LifeRatio,knight_promo_6LifeRatio,knight_promo_7LifeRatio,knight_promo_8LifeRatio,Name,ELO
0,4empechement,20.798472396067886,194.0867554722944,-61.39023090984241,-14.78402609879107,-12.004720455579742,3.998456121762301,-6.018674604318203,-34.83847316082871,-9.986714553767536,12.243921841680551,0.21768,0.468,17.396,0.0594919999999999,0.005984,0.0758907113784025,-0.3026097532269352,1.5973700172386414,126,56,63,7,0.7806241407891457,0.8891531437319156,0.8613740689628302,0.5366075306377017,0.5803513923304335,0.5900660580358149,0.6345905801725839,0.8880366420270717,0.882503188826463,0.8551976239568224,0.699786794547955,0.4347836886103732,0.705685495216082,0.844349627510625,0.8676377175348564,0.0562777134889367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4empechement,2522.0
1,AFRUZA Khamdamova,19.980144814965005,187.43250928135015,-62.59838064010194,-15.687360501452762,-11.541572491351232,3.9920080023441766,-3.880380874601807,-36.19873294714108,-10.5641031520965,11.281761324197255,0.2105728241563055,0.4274253996447602,17.97868561278863,0.0607797513321492,0.0072140319715808,0.0749073762262345,-0.2605324601922554,1.2000001122855266,567,259,265,43,0.7407025716118748,0.8462552491350618,0.8259254490549037,0.6146279487106127,0.5937959096184723,0.5391314646148331,0.5485360997098068,0.8876063665645672,0.8849590155972453,0.8154870583716542,0.5273921806850681,0.4043579646455162,0.7099965290243831,0.8052018769639355,0.8477180209528097,0.0591461942378529,0.073996073496904,0.3045685279187817,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,AFRUZA Khamdamova,2682.0
2,Aadit Bhatia,18.949722544656208,179.93313300923768,-64.25990598217915,-14.957623817306374,-12.46291619937623,3.9382888251469295,-6.256986489149169,-35.260646895849455,-10.354357776354629,11.094336370709769,0.208543661971831,0.4620732394366197,17.23380281690141,0.0577915492957746,0.0077267605633802,0.0682597022849028,-0.2476187307558566,1.59267023994605,181,63,104,14,0.7421433252015626,0.8299924593851655,0.7982978919785395,0.6411199721767188,0.6257325573603868,0.5560959877915224,0.597231495911647,0.8698665058808046,0.8318981643847371,0.8137132780712469,0.6407049207738581,0.5218527826783824,0.6014384165424141,0.7928982944565013,0.8156219303542195,0.0523914258833684,0.074536571636234,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Aadit Bhatia,2528.0
3,Aaditya Dhingra,19.75778663356812,186.0420885053482,-58.621692108406734,-14.99352377508196,-11.531950627869572,3.991304558505241,-5.895971274224948,-31.923962814203367,-10.118627841615467,11.85103966608334,0.2128832335329341,0.44,17.702095808383234,0.0574835329341317,0.0080793413173652,0.0579707012319896,-0.2697164945820542,1.7803935516034748,340,153,160,27,0.7467428752967412,0.8682143940983907,0.82518389872885,0.6516030905381929,0.642403318539152,0.576838517086329,0.5894356469547692,0.8797265130206544,0.8715609579235909,0.8369915536648556,0.6663994952110329,0.5483310267911407,0.6304131775574766,0.7984270691225445,0.8507593844224034,0.0499705412862037,0.0769450281069999,0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaditya Dhingra,2694.0
4,Aakaash Meduri,19.224421016310867,183.42884121982763,-66.11922312432546,-15.097293801514592,-12.714093170189011,3.991397154889973,-7.024927197391557,-36.380611886077006,-10.544953751596,11.651259527552734,0.2050147275405007,0.423360824742268,18.008836524300442,0.0556774668630338,0.0075670103092783,0.0642613481155674,-0.2692056616936046,1.7274379870991274,344,137,188,19,0.7459766754996848,0.8528896324549746,0.7975584994467764,0.6656909739732211,0.6018806727175521,0.5589662632032985,0.5834443632084374,0.8590567465194453,0.8428937939182473,0.7873103573686124,0.6558335751923052,0.5281877552770141,0.6182810603606563,0.7720071990599849,0.832112740554407,0.0544823144274293,0.0549105813239102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aakaash Meduri,2519.0
5,Aakash G,20.23323898463828,197.26005731096612,-62.48764080459723,-14.37294355083792,-12.215070402746813,3.994246481212053,-5.191546640573828,-35.269661209249875,-10.24328056697438,10.810615084573538,0.2143731884057971,0.4883695652173913,17.36231884057971,0.0613949275362318,0.0066702898550724,0.0939146008416807,-0.2813847026042607,1.3573780646535614,138,77,54,7,0.8064618702465581,0.8311738247931784,0.8441287215340132,0.6462629148942599,0.6133640231379354,0.5611408206053999,0.5648059444752138,0.8963672320595479,0.8854423918188189,0.8195641111034792,0.6765709623634457,0.5231218896636828,0.4201341256339289,0.7974793902979233,0.8605336523572573,0.0409080464620662,0.0794701986754966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aakash G,2675.0
6,Aansh Nandan Nerurkar,19.7660650119209,182.50348109228776,-61.81444268759648,-15.787738409473322,-11.77608973303619,3.9969288460939074,-5.034570800744497,-34.58713398810706,-10.23465200518275,11.608813402853444,0.222482905982906,0.4987606837606837,18.115384615384617,0.0532008547008547,0.0063333333333333,0.0855151234029838,-0.2520149592307798,1.5367176707779922,120,56,52,12,0.6956240085579712,0.8841994732776939,0.8320287090998167,0.6365113435454834,0.6840999648650908,0.5558051007984232,0.5440389481393912,0.8952820188193716,0.8464557622407161,0.86346739923422,0.6424536469390848,0.4818791020801997,0.5531257527462629,0.8244982801794448,0.8699066378804923,0.0691571329471187,0.0838898770796706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aansh Nandan Nerurkar,2647.0
7,Aaradhya Das,19.97437324801423,195.394143974712,-60.40401102898437,-14.624691434135466,-11.693323044045586,3.998228460508369,-5.555052403081656,-33.28596519414504,-10.222851255682448,10.97964384159746,0.210322429906542,0.4414813084112149,15.200934579439252,0.0629766355140186,0.0081775700934579,0.0229746069998928,-0.3860487267622323,1.632402875252298,109,30,74,5,0.8229012062200239,0.8700270781118907,0.8670604550851334,0.5927926049719296,0.5541632987222299,0.5437744617370621,0.655059509109341,0.8980373084323737,0.8874665847201822,0.8097129329136497,0.654666503813619,0.4915803687578287,0.7465852652258469,0.8178731137420326,0.8753193631644153,0.0611989562673447,0.0629921259842519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaradhya Das,2479.0
8,Aarav Dengla,19.20978331324537,180.2964149114441,-65.16676979172131,-14.679705948152671,-12.125795249436242,3.997592284891908,-6.60754361475923,-37.93305592042656,-10.603169561793878,12.784908217955362,0.2160204081632653,0.4589566326530612,19.426020408163264,0.0619923469387755,0.0076224489795918,0.1192309103912854,-0.2535106430690858,1.442694095894994,206,86,111,9,0.6956504188689085,0.8681883587588392,0.8054829325179903,0.5723846611218361,0.6121585748644007,0.5572557902669958,0.5852304297459981,0.8462794346564436,0.8436265164619441,0.8421592589466413,0.5760749029880532,0.4408239442880609,0.5778743321363986,0.8047469097060184,0.853507224141758,0.0367419045865266,0.0340585525982805,0.0711111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aarav Dengla,2871.0
9,Aarav Sinha,19.206635085732632,183.00200926428408,-61.528637854127744,-15.718461357624696,-11.150366094871089,3.995988669935838,-4.254029614117958,-35.47022878964215,-10.81995200358182,11.888411335774135,0.2247129186602871,0.4605645933014354,18.047846889952154,0.0623971291866028,0.0087177033492822,0.0792120736797961,-0.2627043545429388,1.5051775226750108,107,52,45,10,0.7247008134316562,0.8781075560948041,0.7714323716588057,0.5898295444118046,0.6074144563575382,0.5521639057568574,0.5828363162483374,0.8960795944799644,0.8918547196333727,0.8382049683654775,0.5829164093167736,0.4158284755824746,0.5632370043601463,0.8194352177728648,0.8444521020004847,0.0438804590024996,0.0647880697438899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aarav Sinha,2602.0
