Name,Structual-Continuity_Style_Prob
4empechement,0.7298700227639292
AFRUZA Khamdamova,0.5833999980154103
Aadit Bhatia,0.12657459162215534
Aaditya Dhingra,0.12229158287064076
Aakaash Meduri,0.10713906613296972
Aakash G,0.1298720497980394
Aansh Nandan Nerurkar,0.3692557935861943
Aaradhya Das,0.3942836607497232
Aarav Dengla,0.6846150768922957
Aarav Sinha,0.846807954976993
Aaravamudhan Balaji,0.18114158904093708
Aarit Kapil,0.47483468000928
Aaron Bendayan Claros,0.514207683470269
Aaron Cooper,0.8230485997413999
Aaron Jacobson,0.9102998185166372
Aaron Matthes,0.5055541228033836
Aaron Mendes,0.7668367045510388
Abdimalik Abdisalimov,0.06389706105371673
Abdulla Gadimbayli,0.9471457103842725
Abhimanyu Puranik,0.6491983636703463
Abigail Zhou,0.6318826252438713
Abtin Atakhan,0.3994603904401803
Adam Collins,0.4910896478741297
Adam Gibała,0.04031310733794013
Adam Kozak,0.25156616914071794
Adam Kujawski,0.7356177912469875
Adam Mekhane,0.43894463923130705
Adani Clarke,0.35351045320861907
Adar TARHAN,0.9743084427765789
Adham Fawzy,0.06725879923652466
Adham_Hossam2011,0.27452317862311
Adi Menahem,0.7187830799107553
Aditya Mittal,0.3344173317911063
Aditya S Samant,0.4036113452126049
Aditya Varun Gampa,0.4959151557667087
Adnan Sitnic,0.5615702568228305
Adrian Antonio Garcia Garcia,0.588727689515067
Adrian Gschnitzer,0.39767317308370637
Adrian Martinez Fernandez,0.2860183777933138
Adrian Suarez Uriel,0.2451309670335912
Adán Rios Escobar,0.07382578755058011
Aghasiyev Kamal,0.49864995687855795
Agustin Ambrogi,0.5335153275700607
Agustin Fuentes,0.43932626411394865
Ahmad Ahmadzada,0.5483905856199907
Ahmad Al khatib,0.7981033479600261
Ahmed Kandil,0.3719021743044565
Ahn Hongjin,0.13508244167598754
Aiaru Altynbek,0.6213337645432909
Airat Sadubayev,0.48064368789307316
Aisen Mestnikov,0.40031146047711275
Ajay Karthikeyan,0.030640384445009244
Akeem Brown,0.2577632970085594
Akhmedov_David,0.19924820014970016
Aksel Bu Kvaloy,0.5509868027478956
Akshay Borgaonkar,0.5442874994331699
Akylbek2021,0.20870893083874575
Al-Saffar Araz Basim,0.5667178461920507
Alain Fayard,0.05211863404933059
Alain Otero Marino,0.7059071848153533
Alain Prieto Aranguren,0.17897956995817427
Alan Morris-Suzuki,0.2723676108279906
Alan Pichot,0.1520721949817573
Alba De Lomas Busquets,0.2344446575301215
Alban alban1987@hotmail.com,0.3350163076629103
Albert Fishman,0.4527564890875701
Alberto Barp,0.33338705151296555
Alberto Fabris,0.25956520855614873
Alberto Guzman Moneo,0.09954541314528267
Alberto Martin Fuentes,0.17635471392652882
Alberto Santos Flores,0.42339665626140716
Aleexeey Sueetin,0.17318432445929344
Alejandro Castellanos Gómez,0.5640626733746483
Alejandro Castellanos Villela,0.11408301617834908
Alejandro Cosoi Scherzer,0.4935424972798428
Alejandro Cuellar Montes,0.35631355416208665
Alejandro Domingo Nunez,0.12527633869679464
Alejandro Garcia Garcia,0.10087597370025056
Alejandro González Vega,0.1251288039018265
Alejandro Pacheco,0.7395277033385819
Alejandro Uzcategui Rodriguez,0.4313052415409861
Alekhine Nouri,0.2791386589337544
Aleksa Micic,0.2181976790171905
Aleksa Petrovic,0.8217392308602023
Aleksandar Indjic,0.06387747182035891
Aleksandar Topalov,0.02990584324196398
Aleksander Hnydiuk,0.5005051703598171
Aleksander Kumala,0.5630201717193513
Aleksandr Devaev,0.03859847556485828
Aleksandr Domalchuk-Jonasson,0.0629422909185966
Aleksandr Ivanov,0.1709062837935933
Aleksandr Lenderman,0.9802205175359674
Aleksandr Rakhmanov,0.34730288084135963
Aleksandr Shimanov,0.33429957434180463
Aleksandr Usov,0.7033838404229984
Aleksandra Goryachkina,0.7101050641236226
Aleksandra Lach,0.10499285599212949
Aleksandra Maltsevskaya,0.5022091824329271
Aleksandra Tarnowska,0.31830241416746036
Aleksandras Jegorovas,0.5192157933994769
Aleksei Belov,0.8641105979781761
Aleksei Pridorozhni,0.22444082373034577
Aleksei Sarana,0.4308047231160561
Aleksey Sorokin,0.7084721691603824
Alen Yeremyan,0.5629064261391965
Alena Nikulina,0.5770121911969401
Alessandro Manzone,0.19418307822242795
Alessio Boraso,0.4278653387653035
Alex Arias Igual,0.18374006772496512
Alex Bullen,0.4845208601508437
Alex Fier,0.07646720121622334
Alex Fishbein,0.7241038596450698
Alex Garrido Outon,0.3214423217357607
Alex Goldin,0.1892600965999361
Alex Jian,0.09579194282004799
Alex King,0.6311658204169126
Alex Krstulovic,0.7396861694713778
Alex Ostrovskiy,0.8298521560925177
Alex Sahakyan,0.5593601089473583
Alex Truskavetsky,0.40714619185100515
Alex Villa Tornero,0.8832830464883547
Alex Wang,0.4820047351027017
Alexander A. Chernov,0.09718455574516421
Alexander Alexikov,0.04407295344093552
Alexander Donchenko,0.36177498601293817
Alexander Fikiet,0.3881012049593941
Alexander Gelman,0.09914700241467539
Alexander Grischuk,0.28301473778452985
Alexander Herbrig,0.6616569767607957
Alexander Hernandez Jimenez,0.21792620364908227
Alexander Jasinski,0.34273541521050915
Alexander Katz,0.7901690821940853
Alexander Khlebovich,0.8737009490929308
Alexander Khripachenko,0.6973159371348867
Alexander Mikhnenko,0.44293839903599963
Alexander Moskalenko,0.6036035296539131
Alexander Reprintsev,0.6866877265168325
Alexander Rustemov,0.39702793553783533
Alexander Spichkin,0.12930405904288458
Alexander Suvorov,0.1955352995353932
Alexander Timerkhanov,0.45789925444714485
Alexander Velikanov,0.3233648304278205
Alexander Zlatin,0.6152028562853229
Alexander Zubov,0.028160001557320735
Alexandr A Smirnov,0.4812751807425846
Alexandr Kostiukov,0.07447462814315606
Alexandr Provotorov,0.2883565603112745
Alexandr Triapishko,0.754216303077574
Alexandra Afanasieva,0.3546863223307443
Alexandra Kosteniuk,0.7648728605489661
Alexandra Obolentseva,0.07439464133005672
Alexandra Prado,0.08864526883088349
Alexandra Samaganova,0.05733030447744116
Alexandra Shvedova,0.4638859820795568
Alexandra Zherebtsova,0.0843719028186375
Alexandre Bouget,0.4280833560017238
Alexandre Qashashvili,0.765229988612093
Alexandros Papasimakopoulos,0.27030220753697454
Alexandru Calin,0.055533060075502336
Alexandru-Bogdan Banzea,0.7241044375171579
Alexei Gubajdullin,0.05343682222730119
Alexei Kornev,0.5224461776491724
Alexei Saveliev,0.10026651363162145
Alexei Shirov,0.9360934749855311
Alexey Chos,0.05675629332412724
Alexey Dreev,0.5041742337635526
Alexey Evdokimov,0.08214703519324362
Alexey Jarovinsky,0.4735121413227075
Alexey Kislinsky,0.3600375888866908
Alexey Kolmagorov,0.2089893287658508
Alexey Kornyukov,0.29090582560308215
Alexey Kovalchuk,0.46440561097682875
Alexey Reshetnikov,0.18304443599011005
Alexey Slavin,0.0346767138150943
Alexey Streltsov,0.7281706706621099
Alexey Zhuravlev,0.15070833700271652
Alfeu Junior Varela Bueno,0.3083844696969697
Alfie Onslow,0.1305252948224209
Alfonso Llorente Zaro,0.13306067779268152
Alfredo Cecilio Miserendino,0.1585842708343581
Algol Jorajuria,0.277574407091058
Ali Elier,0.6545953955960682
Ali Farahat,0.7045019668426222
Ali Mortazavi,0.019810702394542065
Ali Rastbod,0.4196750076773276
Alicja Sliwicka,0.31759443251452296
Alikhan Daulet,0.02807705405401969
Alikhan Khazhatuly,0.8238041568950292
Alikhon Avazkhonov,0.19066589849170482
Alina Kashlinskaya,0.11240900810432633
Alina Semenova,0.3405929845423733
Alireza Firouzja,0.184090470887463
Alisa Genrietta Yunker,0.6185877816206741
Aljoscha Feuerstack,0.22802681011428622
Alkhoori Eisa Mohmood,0.7958896335963044
Allahverdi Hamidov,0.775216603144092
Alma Jaqueline Mora Velasco,0.1503086447578334
Almas Rakhmatullaev,0.6367907227390006
Alon Mindlin,0.6177014314111123
Alopekos,0.6416885294718824
Altay Eynullayev,0.44000039086033593
Alua Nurman,0.23014036439541696
Alvar Alonso Rosell,0.4123371203446247
Alvaro Alves De Almeida Junior,0.7468683844743924
Alvaro Bayo,0.2874539932502513
Alvaro Blanco Fernandez,0.05674610777485569
Alvaro Donatti,0.3117618187016899
Alvaro Rodriguez,0.36931593190750794
Aman Hambleton,0.2246026615422744
Amani Alazmi,0.30595188110266125
Ameet Ghasi,0.01607518227580557
Amelia Hernandez,0.1288195887858004
Amgalantengis Enkh-Amgalan,0.18099366287676424
Amin Tabatabaei,0.19199131042305298
Amina Kairbekova,0.26139633392692646
Amir Ali Ghafourian,0.7258236553776817
Amir hosein Kashefi,0.32967208686637284
Ana Kuchava,0.08147756450862696
Anastasia Avramidou,0.041535897434684554
Anastasia Bodnaruk,0.015478696116803128
Anastasia Travkina,0.5072364923007948
Anastasiia Hnatyshyn,0.8999842507780877
Anastasios Mihailidis,0.7660660593609065
Anastassia Sinitsina,0.09562160917904243
Anatole Vlachos,0.11406780727306742
Anatoliy Emeliantsev,0.1168153836067635
Anatoliy Shapkin,0.239960314381997
Anatoly Bykhovsky,0.007781828519275119
Anatoly Donskov,0.3983580021171016
Anatoly Krutko,0.4043868368863599
Anatoly Moskvin,0.16846274146354778
Anderson Esmeraldas,0.18224751907499853
Andre Bold,0.6097316230764187
Andre Kunz,0.40624022688234496
Andre Mendez Machado,0.8625293719711967
Andreas Brenke,0.638459595144379
Andreas Mende,0.06143061840967666
Andreas Skotheim,0.3802179041505928
Andrei Belozerov,0.31183658173000506
Andrei Ioan Trifan,0.6076131077898262
Andrei Macovei,0.46526383023806905
Andrei Negrean,0.8233590090841056
Andrei Olhovik,0.40288693629858274
Andrei Purygin,0.928480286613604
Andrei Shishkov,0.8389737666736343
Andrei Skvortsov,0.6747008644030823
Andrei-Mihai Bonte,0.4222732088600356
Andrej,0.05068889146109497
Andres Carrasco Miranda,0.21341478556815208
Andres Ferriz Barrios,0.38142989903785735
Andrew Green,0.07598654188804768
Andrew Hong,0.34184737343371613
Andrew Jing,0.08368154826025459
Andrew Tang,0.22885719635026117
Andrew Titus,0.8923410593861909
Andrew Wu,0.5336771743851215
Andrey Drygalov,0.47429755934121565
Andrey Esipenko,0.30562392409691086
Andrey Gonzalez Zharikov,0.7142345506190041
Andrey Gorovets,0.05517931193785872
Andrey Ivanov,0.1087560321002905
Andrey Klymchuk,0.3505504075478475
Andrey Levitskiy,0.9606200552929
Andrey Marcelo Souza Neves,0.4697886704185656
Andrey Rychagov,0.1280818473120844
Andrey Tsvetkov,0.20133306470216458
Andrii Palchuk,0.38552287654238065
Andrii Vachylia,0.08170694073156529
Andriy Diachek,0.6590213348035654
Andriy Prydun,0.3639810500509705
Andrzej Krzywda,0.43729955720306324
Andrés Delgado,0.5613609429352183
Andy Woodward,0.25771200848752407
Angel Gabriel Cordoba Roa,0.7899916885000837
Angie Garcia,0.5099773054536864
Anil Berk Erdogan,0.5783766371991126
Anish Giri,0.08813299573115677
Ankush Khandelwal,0.4372623557115123
Anna Cramling,0.403539054674708
Anna Jakubowska,0.4644696924552492
