Name,Solid_Style_Prob,Solid_Style_Score
4empechement,0.40518085715264807,0.3911
AFRUZA Khamdamova,0.1134345611328655,0.0642
Aadit Bhatia,0.08125124529041919,0.033
Aaditya Dhingra,0.5705988676432124,0.6271
Aakaash Meduri,0.08509322917387499,0.0364
Aakash G,0.03599920943876176,0.0074
Aansh Nandan Nerurkar,0.3517607020484288,0.3254
Aaradhya Das,0.0839477980641826,0.0349
Aarav Dengla,0.6405903393138881,0.7132
Aarav Sinha,0.4020741208724349,0.3852
Aaravamudhan Balaji,0.22236511962680935,0.1647
Aarit Kapil,0.372934037996007,0.3499
Aaron Bendayan Claros,0.4583199116061305,0.4664
Aaron Cooper,0.4162185517078606,0.4063
Aaron Jacobson,0.36160089133515994,0.3343
Aaron Matthes,0.16551923261890383,0.1102
Aaron Mendes,0.16519025352254751,0.1098
Abdimalik Abdisalimov,0.3258748998402744,0.2928
Abdulla Gadimbayli,0.9256421404306743,0.9766
Abhimanyu Puranik,0.4867556105989192,0.5128
Abigail Zhou,0.35161741509184863,0.325
Abtin Atakhan,0.5163353052553108,0.554
Adam Collins,0.7981931772385418,0.8857
Adam Gibała,0.21217044856261635,0.1525
Adam Kozak,0.1764740808306931,0.1195
Adam Kujawski,0.8349286997676588,0.9187
Adam Mekhane,0.6955012011868528,0.7811
Adani Clarke,0.1198699378156117,0.0701
Adar TARHAN,0.40761354951978285,0.3959
Adham Fawzy,0.7434763173493067,0.8312
Adham_Hossam2011,0.08313119132357791,0.0341
Adi Menahem,0.79690732112431,0.8835
Aditya Mittal,0.5994633817354111,0.6694
Aditya S Samant,0.8063339383756324,0.8954
Aditya Varun Gampa,0.12847454991405843,0.0761
Adnan Sitnic,0.4280955579483294,0.4223
Adrian Antonio Garcia Garcia,0.4043961670457653,0.3896
Adrian Gschnitzer,0.3468688799750442,0.3191
Adrian Martinez Fernandez,0.5577950648142173,0.6104
Adrian Suarez Uriel,0.5709694432313629,0.6282
Adán Rios Escobar,0.4179984829365587,0.4082
Aghasiyev Kamal,0.8348344711183314,0.9184
Agustin Ambrogi,0.5800672724363215,0.6401
Agustin Fuentes,0.2483457459658321,0.2015
Ahmad Ahmadzada,0.5920517683214535,0.6571
Ahmad Al khatib,0.8880099024713186,0.9573
Ahmed Kandil,0.3134446611829324,0.2783
Ahn Hongjin,0.10702840580740362,0.0575
Aiaru Altynbek,0.08343026850660026,0.0345
Airat Sadubayev,0.2869437778509547,0.2497
Aisen Mestnikov,0.6072249126453487,0.6779
Ajay Karthikeyan,0.8740712393588839,0.9432
Akeem Brown,0.7587335631495538,0.846
Akhmedov_David,0.0701127284880073,0.0249
Aksel Bu Kvaloy,0.7956290965666518,0.8827
Akshay Borgaonkar,0.30477307010926996,0.2698
Akylbek2021,0.49009918445054124,0.518
Al-Saffar Araz Basim,0.6891099478738173,0.7729
